id,Home team,Home team score, Host team,Host team score,Home team win odd,Draw odd,Host team win odd,Event result type,leaguelink,season
0xD0440DEF2DF74BAC8CCAEF69DF01942700000000000000000000000000000000,Liverpool,1,Stoke,0,1.720,3.840,5.180,0,https://www.oddsportal.com/soccer/england/premier-league-2014-2015/results/,2014/2015
0xD0AB04F6CFA042BAB4F3B2755A9950CB00000000000000000000000000000000,Stoke,0,Aston Villa,1,1.950,3.340,4.390,2,https://www.oddsportal.com/soccer/england/premier-league-2014-2015/results/,2014/2015
0xD1DCCA1E28D94F289D27C73DDD722F2300000000000000000000000000000000,Chelsea,2,West Brom,0,1.230,6.520,14.910,0,https://www.oddsportal.com/soccer/england/premier-league-2014-2015/results/,2014/2015
0xD23505284D334701B393B6815AD45C6C00000000000000000000000000000000,West Ham,0,Tottenham,1,3.750,3.550,2.030,2,https://www.oddsportal.com/soccer/england/premier-league-2014-2015/results/,2014/2015
0xD262000CA8734442B2D7A34F844CB47F00000000000000000000000000000000,Newcastle,1,Leicester,0,2.120,3.500,3.550,0,https://www.oddsportal.com/soccer/england/premier-league-2014-2015/results/,2014/2015
0xD2828F70C47844B789B2B5A6649BDD5000000000000000000000000000000000,Crystal Palace,0,Burnley,0,2.230,3.260,3.560,1,https://www.oddsportal.com/soccer/england/premier-league-2014-2015/results/,2014/2015
0xD2DADB73B09742619CFE83C7E4FC824100000000000000000000000000000000,Manchester Utd,2,Everton,1,1.580,4.250,5.880,0,https://www.oddsportal.com/soccer/england/premier-league-2014-2015/results/,2014/2015
0xD4B20ACBDE044631BB4836635585F28500000000000000000000000000000000,Burnley,1,Southampton,0,4.870,3.590,1.820,0,https://www.oddsportal.com/soccer/england/premier-league-2014-2015/results/,2014/2015
0xD4CD7F9E5DF4408CB59074CAE94EF53D00000000000000000000000000000000,Leicester,5,QPR,1,1.500,4.590,6.360,0,https://www.oddsportal.com/soccer/england/premier-league-2014-2015/results/,2014/2015
0xD4D102B977464C5992AF778D94798A3600000000000000000000000000000000,Southampton,0,West Ham,0,1.690,3.860,5.440,1,https://www.oddsportal.com/soccer/england/premier-league-2014-2015/results/,2014/2015
0xD5B0CDCD82BF4645BD7EA15AE4937D6100000000000000000000000000000000,Swansea,1,Tottenham,2,2.410,3.440,3.030,2,https://www.oddsportal.com/soccer/england/premier-league-2014-2015/results/,2014/2015
0xD5B4DEC72D5C4681A0553D713E6C674F00000000000000000000000000000000,Newcastle,1,Aston Villa,0,1.980,3.370,4.210,0,https://www.oddsportal.com/soccer/england/premier-league-2014-2015/results/,2014/2015
0xD739E7ECDBFF46D5B40BE152E54360C400000000000000000000000000000000,Southampton,2,Arsenal,0,2.650,3.410,2.760,0,https://www.oddsportal.com/soccer/england/premier-league-2014-2015/results/,2014/2015
0xD75734768EF14635A5526E57983AECA300000000000000000000000000000000,West Ham,1,Everton,2,2.500,3.400,2.890,2,https://www.oddsportal.com/soccer/england/premier-league-2014-2015/results/,2014/2015
0xD8377E5337C24EC9BD28183146294AD100000000000000000000000000000000,Manchester City,2,Southampton,0,1.620,4.210,5.500,0,https://www.oddsportal.com/soccer/england/premier-league-2014-2015/results/,2014/2015
0xD83E41B3C1B043109F9B3067132D4C3B00000000000000000000000000000000,Sunderland,1,Manchester Utd,1,5.500,3.990,1.640,1,https://www.oddsportal.com/soccer/england/premier-league-2014-2015/results/,2014/2015
0xD8F83E388C96489F8C550FA017A4508500000000000000000000000000000000,Arsenal,2,QPR,1,1.270,5.950,11.940,0,https://www.oddsportal.com/soccer/england/premier-league-2014-2015/results/,2014/2015
0xD90F3851610B4B399A5BCE1978535B7900000000000000000000000000000000,Manchester Utd,3,Aston Villa,1,1.340,5.150,10.270,0,https://www.oddsportal.com/soccer/england/premier-league-2014-2015/results/,2014/2015
0xD9FDC80C283F45299159BEE1E7AB1AD400000000000000000000000000000000,Manchester Utd,4,QPR,0,1.260,6.160,12.630,0,https://www.oddsportal.com/soccer/england/premier-league-2014-2015/results/,2014/2015
0xDB77F80F13EA4295A00E4AB2C8FE4C3600000000000000000000000000000000,Liverpool,2,Burnley,0,1.360,5.140,9.600,0,https://www.oddsportal.com/soccer/england/premier-league-2014-2015/results/,2014/2015
0xDBBE400C4F56475C993DBF10501D15EA00000000000000000000000000000000,Hull,1,Liverpool,0,3.970,3.390,2.050,0,https://www.oddsportal.com/soccer/england/premier-league-2014-2015/results/,2014/2015
0xDC8694B35D4749FF84C34FADDDAC031800000000000000000000000000000000,Aston Villa,1,Chelsea,2,8.300,4.570,1.440,2,https://www.oddsportal.com/soccer/england/premier-league-2014-2015/results/,2014/2015
0xDD5F23BBCA614AD7A0E1BE3D7FCA303E00000000000000000000000000000000,Crystal Palace,1,Swansea,0,1.770,3.860,4.700,0,https://www.oddsportal.com/soccer/england/premier-league-2014-2015/results/,2014/2015
0xDE4915E66D26405192561A857898E0F400000000000000000000000000000000,Tottenham,0,Aston Villa,1,1.630,4.060,5.730,2,https://www.oddsportal.com/soccer/england/premier-league-2014-2015/results/,2014/2015
0xDEB0085A3DF44147B09A4067192F846F00000000000000000000000000000000,Hull,0,Burnley,1,1.880,3.520,4.450,2,https://www.oddsportal.com/soccer/england/premier-league-2014-2015/results/,2014/2015
0xDF0A520EFEFE4B649A249D32307702CE00000000000000000000000000000000,Everton,0,Liverpool,0,3.430,3.310,2.280,1,https://www.oddsportal.com/soccer/england/premier-league-2014-2015/results/,2014/2015
0xDFA76200160F47939F27375C8A35837700000000000000000000000000000000,QPR,2,Liverpool,3,6.600,4.220,1.540,2,https://www.oddsportal.com/soccer/england/premier-league-2014-2015/results/,2014/2015
0xE1B585CA7E4B4E87A5BAA18B5FED6DA200000000000000000000000000000000,Crystal Palace,2,Manchester City,1,5.490,4.120,1.640,0,https://www.oddsportal.com/soccer/england/premier-league-2014-2015/results/,2014/2015
0xE1EBB67F3F6A483F8747AED5B0CB1C2000000000000000000000000000000000,Stoke,1,Manchester City,4,5.620,3.980,1.650,2,https://www.oddsportal.com/soccer/england/premier-league-2014-2015/results/,2014/2015
0xE2D4FFE995BE4689BC5686C456781A2A00000000000000000000000000000000,QPR,0,Hull,1,2.340,3.210,3.340,2,https://www.oddsportal.com/soccer/england/premier-league-2014-2015/results/,2014/2015
